book	para	toc	related	tags	leaves	m_vol	m_first	m_last	m_last_derived	v_range	p_range	t_range
156	3	Dhammapadapāḷi	kn2	dhammapada,khuddakanikāya,mūla,pāḷi,sutta	26	0	13	73		0.13-0.64	0.1-0.59	0.15-0.70
157	3	Udānapāḷi	kn3	khuddakanikāya,mūla,pāḷi,sutta,udāna	80	0	77	193		0.69-0.179	0.1-0.94	0.73-0.228
158	3	Itivuttakapāḷi	kn4	itivuttaka,khuddakanikāya,mūla,pāḷi,sutta	112	0	195	277		0.1-0.86	0.1-0.124	0.229-0.323
159	3	Suttanipātapāḷi	kn5	khuddakanikāya,mūla,nipāta,pāḷi,sutta,suttanipāta	73	0	279	449		0.87-0.247	0.1-0.219	0.324-0.551
160	3	Vimānavatthupāḷi	kn6	khuddakanikāya,mūla,pāḷi,sutta,vimānavatthu	85	0	1	124		0.1-0.88	0.1-0.131	0.1-0.154
161	3	Petavatthupāḷi	kn7	khuddakanikāya,mūla,petavatthu,pāḷi,sutta	51	0	127				0.1-0.94	
162	3	Theragāthāpāḷi	kn8	khuddakanikāya,mūla,pāḷi,sutta,theragāthā	265	0	19	367		0.161-0.295	0.1-0.108	0.260-0.432
163	3	Therīgāthāpāḷi	kn9	khuddakanikāya,mūla,pāḷi,sutta,therīgāthā	73	0	377	428		0.303-0.348	0.123-0.167	0.442-0.499
164	3	(MN)Mūlapaṇṇāsapāḷi	mn1	majjhimanikāya,mūla,mūlapaṇṇāsa,pāḷi,sutta	73	1	1	407		1.1-1.415	1.1-1.331	1.1-1.599
165	3	(MN)Majjhimapaṇṇāsapāḷi	mn2	majjhimanikāya,majjhimapaṇṇāsa,mūla,pāḷi,sutta	50	2	1	424		2.1-2.432	1.339-2.209	2.1-2.666
166	3	(MN)Uparipaṇṇāsapāḷi	mn3	majjhimanikāya,mūla,pāḷi,sutta,uparipaṇṇāsa	52	3	1	347		3.1-3.360	2.214-3.297	3.1-3.540
167	3	(SN)Sagāthāvaggo	sn1	mūla,pāḷi,sagāthāvagga,saṃyuttanikāya,sutta	272	1	1	242		1.1-1.278		
168	3	(SN)Nidānavaggo	sn2	mūla,nidānavagga,pāḷi,saṃyuttanikāya,sutta	248	1	243	471				2.1-2.331
169	3	(SN)Khandhavaggo	sn3	khandhavagga,mūla,pāḷi,saṃyuttanikāya,sutta	333	2	1	234				3.1-3.339
170	3	(SN)Saḷāyatanavaggo	sn4	mūla,pāḷi,saḷāyatanavagga,saṃyuttanikāya,sutta	344	2	236	566		2.1-2.366	4.1-4.401	4.1-4.487
171	3	(SN)Mahāvaggo	sn5	mahāvagga,mūla,pāḷi,saṃyuttanikāya,sutta	610	3	1				5.1-5.477	
172	3	Dhammasaṅgaṇī-mūlaṭīkā	abhi1	abhidhamma,dhammasaṅgaṇī,mūlaṭīkā,ṭīkā	79	0	1	203		0.1-0.195		
173	3	Vibhaṅga-mūlaṭīkā	abhi2	abhidhamma,mūlaṭīkā,vibhaṅga,ṭīkā	121	0	1	235		0.1-0.238		
173	1155	Vibhaṅga-anuṭīkā	abhi2	abhidhamma,mūlaṭīkā,vibhaṅga,ṭīkā	117	0	10	228		0.9-0.230		
174	4	Dhātukathāpakaraṇa-mūlaṭīkā	abhi3	abhidhamma,dhātukathā,mūlaṭīkā,pañcapakaraṇa,ṭīkā	22	0	1	26	1	0.1-0.26		
174	100	Puggalapaññattipakaraṇa-mūlaṭīkā	abhi4	abhidhamma,mūlaṭīkā,pañcapakaraṇa,puggalapaññatti,ṭīkā	9	0	27	45		0.27-0.45		
174	201	Kathāvatthupakaraṇa-mūlaṭīkā	abhi5	abhidhamma,kathāvatthu,mūlaṭīkā,pañcapakaraṇa,ṭīkā	175	0	47	116	1	0.46-0.126		
174	865	Yamakapakaraṇa-mūlaṭīkā	abhi6	abhidhamma,mūlaṭīkā,pañcapakaraṇa,yamaka,ṭīkā	31	0	117	164		0.127-0.174		
174	1059	Paṭṭhānapakaraṇa-mūlaṭīkā	abhi7	abhidhamma,mūlaṭīkā,pañcapakaraṇa,paṭṭhāna,ṭīkā	47	0	165	245		0.175-0.254		
175	3	Dhammasaṅgaṇī-anuṭīkā	abhi1	abhidhamma,anuṭīkā,dhammasaṅgaṇī,ṭīkā	71	0	1	220		0.1-0.206		
176	4	Dhātukathāpakaraṇa-anuṭīkā	abhi3	abhidhamma,anuṭīkā,dhātukathā,pañcapakaraṇa,ṭīkā	22	0	1	33		0.1-0.33		
176	117	Puggalapaññattipakaraṇa-anuṭīkā	abhi4	abhidhamma,anuṭīkā,pañcapakaraṇa,puggalapaññatti,ṭīkā	9	0	35	55				
176	213	Kathāvatthupakaraṇa-anuṭīkā	abhi5	abhidhamma,anuṭīkā,kathāvatthu,pañcapakaraṇa,ṭīkā	169	0	57	157		0.55-0.163		
176	917	Yamakapakaraṇa-anuṭīkā	abhi6	abhidhamma,anuṭīkā,pañcapakaraṇa,yamaka,ṭīkā	31	0	159	222		0.164-0.225		
176	1139	Paṭṭhānapakaraṇa-anuṭīkā	abhi7	abhidhamma,anuṭīkā,pañcapakaraṇa,paṭṭhāna,ṭīkā	46	0	223	322		0.226-0.321		
177	2	Abhidhammāvatāro	abhi8	abhidhamma,abhidhammāvatāra,abhidhammāvatāro,ṭīkā	26	0	1	186		0.1-0.180	0.1-0.138	
177	4805	Nāmarūpaparicchedo		abhidhamma,abhidhammāvatāro,nāmarūpapariccheda,ṭīkā	1859							
177	10627	Paramatthavinicchayo		abhidhamma,abhidhammāvatāro,paramatthavinicchaya,ṭīkā	1143							
177	14272	Saccasaṅkhepo		abhidhamma,abhidhammāvatāro,saccasaṅkhepa,ṭīkā	387							
178	2	Abhidhammatthasaṅgaho	abhi9	abhidhamma,abhidhammatthasaṅgaha,ṭīkā	72	0	1	68	1	0.1-0.71		
178	875	Abhidhammatthavibhāvinīṭīkā	abhi9	abhidhamma,abhidhammatthasaṅgaha,ṭīkā	71	0	69	278				
179	2	Abhidhammāvatāra-purāṇaṭīkā	abhi8	abhidhamma,abhidhammāvatāra,avatāra,purāṇaṭīkā,ṭīkā	25	0	1	138		1.1-1.116		
179	872	Abhidhammāvatāra-abhinavaṭīkā	abhi8	abhidhamma,abhidhammāvatāra,abhinavaṭīkā,avatāra,ṭīkā	42	1	139	377		1.117-2.281		
180	2	Abhidhammamātikāpāḷi		abhidhamma,abhidhammamātikā,abhidhammamātikāpāḷi,mātikā,pāḷi,ṭīkā	175	0	2	95		0.2-0.98		
180	1221	Mohavicchedanī		abhidhamma,abhidhammamātikā,mohavicchedanī,mātikā,pāḷi,ṭīkā	88	0	1	485		0.1-0.372		
181	3	Ekakanipāta-ṭīkā	an1_A	aṅguttaranikāya,ekakanipāta,nipāta,sutta,sāratthamañjūsā,ṭīkā	90	1	1	288		1.1-1.270		
182	3	Dukanipāta-ṭīkā	an2	aṅguttaranikāya,dukanipāta,nipāta,sutta,sāratthamañjūsā,ṭīkā	26	2	1	74		2.1-2.67		
182	324	Tikanipāta-ṭīkā	an3	aṅguttaranikāya,nipāta,sutta,sāratthamañjūsā,tikanipāta,ṭīkā	113	2	75	220		2.69-2.200		
182	1023	Catukkanipāta-ṭīkā	an4	aṅguttaranikāya,catukkanipāta,nipāta,sutta,sāratthamañjūsā,ṭīkā	140	2	221			2.201-2.361		
183	3	Pañcakanipāta-ṭīkā	an5	aṅguttaranikāya,nipāta,pañcakanipāta,sutta,sāratthamañjūsā,ṭīkā	94	3	1	80		3.1-3.76		
183	470	Chakkanipāta-ṭīkā	an6	aṅguttaranikāya,chakkanipāta,nipāta,sutta,sāratthamañjūsā,ṭīkā	61	3	81			3.77-3.138		
183	793	Sattakanipāta-ṭīkā	an7	aṅguttaranikāya,nipāta,sattakanipāta,sutta,sāratthamañjūsā,ṭīkā	38							
184	3	Aṭṭhakanipāta-ṭīkā	an8	aṅguttaranikāya,aṭṭhakanipāta,nipāta,sutta,sāratthamañjūsā,ṭīkā	33	3	203	265		3.189-3.245		
184	278	Navakanipāta-ṭīkā	an9	aṅguttaranikāya,navakanipāta,nipāta,sutta,sāratthamañjūsā,ṭīkā	29	3	267	304		3.247-3.281		
184	466	Dasakanipāta-ṭīkā	an10	aṅguttaranikāya,dasakanipāta,nipāta,sutta,sāratthamañjūsā,ṭīkā	46	3	305	356	1	3.283-3.332		
184	776	Ekādasakanipāta-ṭīkā	an11	aṅguttaranikāya,ekādasakanipāta,nipāta,sutta,sāratthamañjūsā,ṭīkā	6	3	357	371		3.333-3.346		
185	3	(DN)Sīlakkhandhavaggaṭīkā	dn1_A	dīghanikāya,līnatthappakāsanā,sutta,sīlakkhandhavagga,sīlakkhandhavaggaṭīkā,ṭīkā	138	1	1	404		1.1-1.359	1.1-1.525	
186	3	(DN)Mahāvaggaṭīkā	dn2	dīghanikāya,līnatthappakāsanā,mahāvagga,sutta,ṭīkā	155	2	1			2.1-2.330	2.1-2.452	
187	3	(DN)Pāthikavaggaṭīkā	dn3	dīghanikāya,līnatthappakāsanā,pāthikavagga,sutta,ṭīkā	142	3	1	292		3.1-3.263	3.1-3.372	
188	3	(DN)Sīlakkhandhavaggaabhinavaṭīkā	dn1_A	abhinavaṭīkā,dīghanikāya,sutta,sādhuvilāsinī,sīlakkhandhavagga,ṭīkā	46	1	1	500				
189	3	(DN)Sīlakkhandhavaggaabhinavaṭīkā	dn1	abhinavaṭīkā,dīghanikāya,sutta,sādhuvilāsinī,sīlakkhandhavagga,ṭīkā	97	2	1	436		2.1-2.385		
190	3	Nettippakaraṇa-ṭīkā	kn19	khuddakanikāya,netti,nettippakaraṇa,sutta,ṭīkā	29	0	18	151				
191	3	Nettivibhāvinī	kn19	khuddakanikāya,netti,nettivibhāvinī,sutta,ṭīkā	39	0	1	279		0.145-0.398		
192	3	(MN)Mūlapaṇṇāsa-ṭīkā	mn1_A	līnatthappakāsanā,majjhimanikāya,mūlapaṇṇāsa,sutta,ṭīkā	153	1	1	319		1.1-2.297		
193	3	(MN)Majjhimapaṇṇāsa-ṭīkā	mn2	līnatthappakāsanā,majjhimanikāya,majjhimapaṇṇāsa,sutta,ṭīkā	50	2	1	209		2.1-2.210		
194	3	(MN)Uparipaṇṇāsa-ṭīkā	mn3	līnatthappakāsanā,majjhimanikāya,sutta,uparipaṇṇāsa,ṭīkā	58	2	211	442		2.1-2.223		
195	3	(SN)Sagāthāvagga-ṭīkā	sn1	līnatthappakāsanā,sagāthāvagga,saṃyuttanikāya,sutta,ṭīkā	271	1	1	344				
196	3	(SN)Nidānavagga-ṭīkā	sn2	līnatthappakāsanā,nidānavagga,saṃyuttanikāya,sutta,ṭīkā	191	2	1			2.1-2.178		
197	3	(SN)Khandhavagga-ṭīkā	sn3	khandhavagga,līnatthappakāsanā,saṃyuttanikāya,sutta,ṭīkā	109	2	201	279		2.179-2.255		
198	3	(SN)Saḷāyatanavagga-ṭīkā	sn4	līnatthappakāsanā,saḷāyatanavagga,saṃyuttanikāya,sutta,ṭīkā	149	2	281	391		2.1-2.102		
199	3	(SN)Mahāvagga-ṭīkā	sn5	līnatthappakāsanā,mahāvagga,saṃyuttanikāya,sutta,ṭīkā	212	2	393	551		2.103-2.253		
200	2	Vinayavinicchayo	vin8	vinaya,vinayavinicchaya,vinicchaya,ṭīkā	37	0	1	304		0.1-0.268		
200	10176	Uttaravinicchayo	vin9	uttaravinicchaya,vinaya,vinicchaya,ṭīkā	941							
201	2	Vinayavinicchaya-ṭīkā	vin8	vinaya,vinayavinicchaya,vinayavinicchayaṭīkā,vinicchaya,ṭīkā	38	1	1	399		1.1-2.312		
201	4270	Uttaravinicchaya-ṭīkā	vin9	uttaravinicchaya,uttaravinicchayaṭīkā,vinaya,vinicchaya,ṭīkā	35	2	405	528		2.317-2.419		
202	3	Pācityādiyojanā	vin2	pācittiyapāḷi,pācityādiyojanā,suttavibhaṅga,uttaravinicchayaṭīkā,vinaya,yojanā,ṭīkā	484	0	5	654		1.5-2.275		
203	3	Khuddasikkhā	vin10	khuddasikkhā,vinaya,ṭīkā	52	0	1	57		0.1-0.68		
203	1620	Khuddasikkhā-purāṇaṭīkā	vin10	khuddasikkhā,purāṇaṭīkā,vinaya,ṭīkā	54	0	59	235		0.69-0.209		
203	2361	Khuddasikkhā-abhinavaṭīkā		abhinavaṭīkā,khuddasikkhā,vinaya,ṭīkā	54	0	237	441		0.211-0.369		
203	3100	Mūlasikkhā		mūlasikkhā,vinaya,ṭīkā	116	0	443	456	1			
203	3481	Mūlasikkhā-ṭīkā	vin11	mūlasikkhā,vinaya,ṭīkā	9	0	457	497		0.387-0.418		
204	3	Sāratthadīpanī-ṭīkā (paṭhamo bhāgo)	vin1	dīpanī,mahāvibhaṅga,paṭhamo bhāgo,pārājikapāḷi,suttavibhaṅga,sāratthadīpanī,vinaya,ṭīkā	25	1	1	452		1.1-1.395		
205	3	(SAD) Pārājika-ṭīkā	vin1	dutiyo bhāgo,dīpanī,mahāvibhaṅga,pārājikapāḷi,suttavibhaṅga,sāratthadīpanī,vinaya,ṭīkā	114	2	1	447		2.1-2.396		
206	3	(SAD) Pācittiya-ṭīkā	vin2	dīpanī,mahāvibhaṅga,pācittiyapāḷi,suttavibhaṅga,sāratthadīpanī,tatiyo bhāgo,vinaya,ṭīkā	111	3	1	129		3.1-3.120		
206	717	(SAD) Mahāvagga-ṭīkā	vin3	dīpanī,khandhaka,mahāvagga,sāratthadīpanī,vinaya,ṭīkā	133	3	131	363		3.121-3.331		
206	1753	(SAD) Cūḷavagga-ṭīkā	vin4	cūḷavagga,dīpanī,khandhaka,sāratthadīpanī,vinaya,ṭīkā	65	3	365	454		3.332-3.414		
206	2154	(SAD) Parivāra-ṭīkā	vin5	dīpanī,parivāra,parivārapāḷi,sāratthadīpanī,vinaya,ṭīkā	51	3	455	495		3.415-3.454		
207	3	Bhikkhupātimokkhapāḷi	vin6	bhikkhupātimokkha,dvemātikāpāḷi,pātimokkha,pāḷi,vinaya,ṭīkā	10	0	1	36		0.1-0.40		
207	524	Bhikkhunīpātimokkhapāḷi	vin6	bhikkhunī,bhikkhupātimokkha,dvemātikāpāḷi,pātimokkha,pāḷi,vinaya,ṭīkā	9	0	37	81		0.41-0.90		
207	1215	Kaṅkhāvitaraṇī-aṭṭhakathā	vin6	dvemātikāpāḷi,kaṅkhāvitaraṇī,pātimokkha,vinaya,ṭīkā	325	0	83	356			0.1-0.208	
208	3	Vinayasaṅgaha-aṭṭhakathā	vin7	vinaya,vinayasaṅgaha,ṭīkā	35	0	1			0.1-0.385		
209	3	Vajirabuddhi-ṭīkā	vin1	vajirabuddhi,vinaya,ṭīkā	5	0	1	29		0.1-0.27		
209	166	Pārājikavaṇṇanā	vin1	mahāvibhaṅga,pārājika,pārājikapāḷi,suttavibhaṅga,vajirabuddhi,vinaya,ṭīkā	176	0	30	285		0.28-0.254		
209	992	Pācittiyavaṇṇanā	vin2	pācittiya,pācittiyapāḷi,suttavibhaṅga,vajirabuddhi,vinaya,ṭīkā	271	0	286	350		0.255-0.318		
209	1708	Mahāvaggavaṇṇanā		khandhaka,mahāvagga,vajirabuddhi,vinaya,ṭīkā	204	0	391	506	1	0.358-0.462		
209	2217	Cūḷavaggavaṇṇanā	vin4	cūḷavagga,khandhaka,vajirabuddhi,vinaya,ṭīkā	70	0	507	542		0.463-0.495		
209	2428	Parivāravaṇṇanā	vin5	parivāra,parivārapāḷi,vajirabuddhi,vinaya,ṭīkā	118	0	543			0.496-0.531		
210	3	Bhikkhuvibhaṅgavaṇṇanā	vin1	mahāvibhaṅga,pārājikapāḷi,suttavibhaṅga,vimativinodanī,vinaya,ṭīkā	215	1	1			1.1-2.63		
210	1658	Bhikkhunīvibhaṅgavaṇṇanā	vin2	bhikkhunī,bhikkhunīvibhaṅga,pācittiyapāḷi,suttavibhaṅga,vimativinodanī,vinaya,ṭīkā	17	2	67	81		2.64-2.79		
210	1779	Mahāvaggavaṇṇanā	vin3	khandhaka,mahāvagga,vimativinodanī,vinaya,ṭīkā	93	2	83	210		2.81-2.198		
210	2431	Cūḷavaggavaṇṇanā	vin4	cūḷavagga,khandhaka,vimativinodanī,vinaya,ṭīkā	38	2	211	269		2.199-2.256		
210	2792	Parivāravaṇṇanā	vin5	parivāra,parivārapāḷi,vimativinodanī,vinaya,ṭīkā	54	2	271	321		2.257-2.304		
211	3	Vinayālaṅkāra-ṭīkā	vin7	vinaya,vinayālaṅkāra,ṭīkā	187	1	1	431		1.1-2.320		
212	2	Kaṅkhāvitaraṇīpurāṇa-ṭīkā	vin6	kaṅkhāvitaraṇī,purāṇaṭīkā,pātimokkha,vinaya,ṭīkā	107	0	1	118	1	0.1-0.114		
212	671	Kaṅkhāvitaraṇī-abhinavaṭīkā	vin6	abhinavaṭīkā,kaṅkhāvitaraṇī,pātimokkha,vinaya,ṭīkā	263	0	119	487		0.115-0.454		
213	3	(VN)Pārājikapāḷi	vin1	mahāvibhaṅga,mūla,pārājika,pārājikapāḷi,pāḷi,suttavibhaṅga,vinaya	62	0	1	379		0.1-0.392	3.1-3.264	1.1-2.148
214	3	(VN)Pācittiyapāḷi	vin2	mahāvibhaṅga,mūla,pācittiyapāḷi,pāḷi,suttavibhaṅga,vinaya	104	0	1	272	1	0.1-0.283	4.1-4.207	2.153-2.571
214	2162	(VN)Bhikkhunīvibhaṅgo	vin2	bhikkhunī,bhikkhunīvibhaṅga,mūla,pācittiyapāḷi,pāḷi,suttavibhaṅga,vinaya	126	0	273	470		0.284-0.487	4.211-4.350	0.1-0.266
215	3	(VN)Mahāvaggapāḷi	vin3	khandhaka,mahāvagga,mūla,pāḷi,vinaya	282	0	1	510		0.1-0.484	1.1-1.359	1.1-2.355
216	3	(VN)Cūḷavaggapāḷi	vin4	cūḷavagga,khandhaka,mūla,pāḷi,vinaya	193	0	1	499		0.1-0.471	2.1-2.301	1.1-2.410
217	3	(VN)Parivārapāḷi	vin5	mūla,parivāra,pāḷi,vinaya	218	0	1	387		0.1-0.412	5.1-5.224	0.1-0.549
